nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,weight,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,lexptot,lnland,vill,progvillf,progvillm,ps98,blockf1,ps99,blockf2,comsup,_pscore,_treated,_support,_weight,_lexptot,_id,_n1,_nn,_pdif
11054,1,1,1,79,1,0,2,36,33295,8262.958008,1240.357422,9503.31543,0,1,1.0427351,1,0.449999988,12.63138866,8.120178223,11.50358677,8.547428131,2.199214935,40.60089493,9.159501076,0.307484686,11,1,1,0.42336092,3,0.124111672,2,1,0.42336092,Treated,On support,1,8.320308685,849,380,1,0.009872317
11061,1,1,1,43,1,6,4,116,180325,6724.861328,12486.4668,19211.32813,1,1,1.01139605,1,0.449999988,12.63138866,8.120178223,11.50358677,8.547428131,2.199214935,40.60089493,9.863306999,0.770108223,11,1,1,0.324368246,2,0.140239377,2,1,0.324368246,Treated,On support,1,8.392056465,641,172,1,0.000359891
11081,1,1,1,52,0,0,7,91,80735,5113.392578,2393.616211,7507.008789,0,1,1.01139605,1,0.449999988,12.63138866,8.120178223,11.50358677,8.547428131,2.199214935,40.60089493,8.923725128,0.64710325,11,1,1,0.48802855,3,0.018602739,1,1,0.48802855,Treated,On support,1,8.871664047,990,521,1,0.09115429
11101,1,1,1,48,1,0,7,8,16755,4080.969727,1252.924316,5333.894043,0,1,1.01139605,1,0.449999988,12.63138866,8.120178223,11.50358677,8.547428131,2.199214935,40.60089493,8.582024574,0.07696104,11,1,1,0.484607861,3,0.167751374,2,1,0.484607861,Treated,On support,1,8.528828621,984,515,1,0.086486972
12021,1,2,1,35,1,10,5,10,18795,7031.533691,17638.51563,24670.04883,0,1,0.763052166,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,10.11338615,0.095310181,12,1,0,0.189264418,1,0.114226721,2,1,0.189264418,Treated,On support,1,8.868983269,554,52,1,0.003747216
12035,1,2,1,33,1,5,7,16,44877.52344,2107.379639,1168.62915,3276.008789,0,0,2.248995781,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,8.094686508,0.148420006,12,1,0,0.307694545,2,0.097566963,1,1,0.307694545,Untreated,On support,1,,154,,0,
12051,1,2,1,26,1,2,3,1,5142.779785,4824.965332,1167.049805,5992.015137,0,0,0.763052166,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,8.698349953,0.00995033,12,1,0,0.402639337,3,0.101704368,2,1,0.402639337,Untreated,On support,1,,311,,0,
12054,1,2,1,38,1,5,4,66,113032.8906,5890.512695,1414.434082,7304.946777,0,0,0.819277108,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,8.896444321,0.506817579,12,1,0,0.298975549,2,0.075817265,1,1,0.298975549,Untreated,On support,1,,142,,0,
12081,1,2,1,35,1,0,7,10,26160,4691.143066,2118.303223,6809.446289,0,1,0.763052166,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,8.826212883,0.095310181,12,1,0,0.442693297,3,0.08596731,1,1,0.442693297,Treated,On support,1,7.887804508,899,430,1,0.021682366
12121,1,2,1,48,1,0,8,5,17080,2690.824219,811.2565918,3502.080811,0,1,0.763052166,1,0.200000003,10.15022373,6.090134144,10.82690525,6.868469238,2.030044556,43.307621,8.161397934,0.048790164,12,1,0,0.417215161,3,0.08098053,1,1,0.417215161,Treated,On support,1,7.910423756,836,367,1,0.012717106
